time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449350000	18.2041	17.805	4.91049	2.25267	0.450581	radar	0.0667818	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0784	17.9846	4.85174	2.2678	0.443286	lidar	0.163509	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.8941	18.1369	4.81207	2.32666	0.532287	radar	0.113815	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7811	18.2645	4.65194	2.34632	0.525029	lidar	0.168711	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6507	18.4552	4.64817	2.35287	0.493188	radar	0.155707	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4488	18.6504	4.76199	2.38046	0.495969	lidar	0.0740527	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2591	18.7933	4.75622	2.42511	0.542627	radar	0.0360939	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1106	18.92	4.65916	2.44975	0.540378	lidar	0.0563962	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9531	19.091	4.6589	2.46019	0.511749	radar	0.0926145	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7439	19.22	4.67939	2.49542	0.521722	lidar	0.429398	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5605	19.3714	4.7015	2.52565	0.543923	radar	0.0595148	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.318	19.5459	4.85194	2.55303	0.542445	lidar	0.128493	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.076	19.6268	4.86006	2.6144	0.606253	radar	0.289362	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.865	19.7645	4.88726	2.63982	0.6008	lidar	0.111163	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6777	19.891	4.7929	2.63363	0.502877	radar	0.129773	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4359	20.0465	4.90949	2.65246	0.494056	lidar	0.163676	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
